credit_score,first_payment_date,mortgage_insurance_percentage,number_of_units,original_combined_loan_to_value,original_debt_to_income_ratio,original_upb,original_loan_to_value,original_interest_rate,property_type,number_of_borrowers,seller_name,servicer_name
764,202209,0,1,80,45,534000,80,4.5,SF,1,"UNITED WHOLESALE MORTGAGE, LLC",MATRIX FINANCIAL SERVICES CORPORATION
774,202209,30,1,93,50,480000,93,5.25,SF,2,"UNITED WHOLESALE MORTGAGE, LLC",MATRIX FINANCIAL SERVICES CORPORATION
774,202209,0,1,80,49,644000,80,5.5,SF,2,"UNITED WHOLESALE MORTGAGE, LLC",MATRIX FINANCIAL SERVICES CORPORATION
763,202209,0,1,80,38,430000,80,5.594,SF,2,"UNITED WHOLESALE MORTGAGE, LLC",MATRIX FINANCIAL SERVICES CORPORATION
707,202209,30,1,95,50,971000,95,6.375,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","LAKEVIEW LOAN SERVICING, LLC"
799,202209,0,1,70,23,840000,70,5.25,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
748,202209,0,1,80,45,446000,80,5.375,SF,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC"
741,202209,25,1,90,46,630000,90,5.45,SF,3,"UNITED WHOLESALE MORTGAGE, LLC",MATRIX FINANCIAL SERVICES CORPORATION
786,202209,0,1,60,29,150000,60,5.375,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
775,202209,0,1,64,36,301000,64,4.99,SF,1,Other sellers,Other servicers
775,202209,12,1,85,27,396000,85,5.125,SF,1,"CALIBER HOME LOANS, INC.","CALIBER HOME LOANS, INC."
789,202209,0,1,80,35,596000,80,5.125,SF,1,"CALIBER HOME LOANS, INC.","CALIBER HOME LOANS, INC."
699,202209,0,1,80,38,512000,80,6.0,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
800,202209,25,1,90,48,675000,90,4.99,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
781,202209,30,1,95,36,473000,95,5.0,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
786,202209,30,1,95,47,618000,95,5.625,SF,1,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,"LAKEVIEW LOAN SERVICING, LLC"
775,202209,30,1,95,28,723000,95,5.25,SF,1,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,"LAKEVIEW LOAN SERVICING, LLC"
697,202209,30,1,95,43,581000,95,4.99,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
797,202209,0,1,80,35,380000,80,5.37,PU,1,"UNITED WHOLESALE MORTGAGE, LLC",MATRIX FINANCIAL SERVICES CORPORATION
727,202209,0,1,80,47,408000,80,5.375,SF,3,"UNITED WHOLESALE MORTGAGE, LLC",MATRIX FINANCIAL SERVICES CORPORATION
793,202209,0,1,82,49,640000,82,5.282,SF,2,"UNITED WHOLESALE MORTGAGE, LLC",MATRIX FINANCIAL SERVICES CORPORATION
776,202209,25,1,86,42,496000,86,5.497,SF,2,"UNITED WHOLESALE MORTGAGE, LLC",MATRIX FINANCIAL SERVICES CORPORATION
